Date,No1,No2,No3,No4,No5,No6,Lucky,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Division 8 Winners,Division 8 Prize
23/04/2025,4,9,20,23,33,40,6,0,0,0,0,27,1765.65,116,774,579,103.65,3248,47.95,6941,21.75,40740,7.9
19/04/2025,16,24,28,31,41,42,1,0,0,0,0,12,8300.95,39,1000,403,166.85,2333,74.85,5814,29.05,35315,10.2
16/04/2025,13,20,24,30,33,42,6,0,0,0,0,12,7150.45,51,1000,470,138.5,2455,68.8,7013,23.35,36788,9.5
12/04/2025,10,15,28,36,38,40,5,0,0,0,0,13,7041.6,61,1000,603,119.65,2568,72.95,8622,21.05,38546,10.05
09/04/2025,8,11,22,31,32,42,6,0,0,0,0,9,7906.75,65,1000,528,119.9,2895,56.75,6911,23.05,39445,8.6
05/04/2025,1,4,5,18,29,36,6,0,0,0,0,3,34694.3,37,1000,422,162.85,2160,82.6,6777,25.5,37002,9.95
02/04/2025,1,25,29,38,40,42,1,0,0,0,0,8,10442.3,49,1000,333,189.5,1937,84.55,5500,28.85,30428,11.1
29/03/2025,17,23,26,28,40,41,2,0,0,0,0,8,11255,68,1000,488,152.15,2562,75.25,8211,22.75,41968,9.5
26/03/2025,5,20,23,30,32,41,3,0,0,1,1000000,14,5556.1,53,1000,586,105.45,2388,67.15,7812,19.9,32492,10.2
22/03/2025,2,3,5,12,40,41,6,0,0,0,0,6,16475.5,36,1000,387,169.55,1993,85.5,6399,25.8,35162,10
19/03/2025,15,16,19,20,23,25,3,0,0,0,0,7,11613.7,39,1000,396,146.05,1596,94.05,6806,21.35,28385,10.9
15/03/2025,3,27,31,33,36,40,5,0,0,0,0,7,10786.35,62,1000,477,134.85,2208,75.6,7654,21.1,34580,9.95
12/03/2025,23,27,29,33,38,41,6,0,0,0,0,8,10309.6,33,1000,401,139.6,2116,68.65,5755,24.45,32585,9.2
08/03/2025,9,15,20,24,25,30,3,0,0,0,0,10,7573.05,59,1000,521,121.3,2125,77.2,7981,19.9,32722,10.35
05/03/2025,12,17,21,23,36,38,1,0,0,1,1000000,7,11038.75,35,1000,279,193.95,1718,81.75,4622,29.45,29815,9.7
01/03/2025,13,14,20,24,34,37,2,0,0,0,0,8,11935.85,28,1000,351,172.65,1776,88.6,5777,26.35,28222,11.5
26/02/2025,4,6,8,13,20,34,3,0,0,0,0,12,5262.7,44,1000,455,111.1,2056,63.85,7061,18,29767,9.1
22/02/2025,2,10,13,19,31,42,3,0,0,0,0,12,6719.55,32,1000,412,132.55,1960,72.35,6844,20.05,29451,9.95
19/02/2025,12,17,21,23,34,40,1,0,0,0,0,12,4184.3,53,1000,277,171.9,1895,65.2,4231,28.3,28414,8.95
15/02/2025,2,12,13,15,20,32,3,0,0,0,0,7,10787.85,37,1000,459,117.75,1868,75.1,6833,19.9,28558,10.15
12/02/2025,5,17,21,37,41,42,6,0,0,0,0,6,10293.85,38,1000,332,142.7,1743,70.55,4897,24.3,26139,9.7
08/02/2025,3,6,9,14,25,39,3,0,0,0,0,12,4364.2,65,1000,612,87.65,2203,63.2,8155,16.55,30748,9.35
05/02/2025,6,13,27,30,32,35,1,0,0,1,1000000,4,15485.05,35,1000,220,210.15,1684,71.25,3989,29.15,26392,9.4
01/02/2025,5,6,9,31,39,42,5,0,0,0,0,15,4351.65,44,1000,407,126.7,1731,77.35,6393,20.3,28296,9.75
29/01/2025,12,25,27,31,35,36,1,0,0,1,1000000,2,35884.5,18,1000,205,216.1,1247,92.2,3537,31.5,21962,10.8
25/01/2025,2,13,15,21,37,40,3,0,0,0,0,3,24644.85,29,1000,308,162.15,1435,90.35,5610,22.35,24200,11.05
22/01/2025,1,8,11,25,31,39,4,0,0,0,0,5,12874.05,21,1000,291,143.4,1464,74,4435,23.65,22591,9.9
18/01/2025,13,32,33,39,41,42,5,0,0,0,0,9,7826.6,25,1000,325,143.05,1408,85.7,5231,22.35,23374,10.65
15/01/2025,7,9,16,24,31,34,3,1,2156479.05,0,0,10,5802.95,34,1000,406,107.9,1650,68.95,5923,18.6,24756,9.5
11/01/2025,5,11,25,30,32,33,3,0,0,0,0,7,10322.6,28,1000,341,142.7,1476,85.6,6043,20.25,25247,10.3
08/01/2025,4,8,24,25,27,41,3,1,11562746.55,1,1000000,6,9767.6,58,1000,410,131.65,2000,70.05,7031,19.3,30467,9.5
04/01/2025,20,22,27,30,33,40,6,0,0,0,0,13,5178.25,57,1000,428,135.65,2412,62.45,6301,23.15,34031,9.15
01/01/2025,4,12,16,28,29,34,2,0,0,0,0,13,5293.35,45,1000,438,123,2209,63.3,6264,21.6,31529,9.15
28/12/2024,3,15,18,20,25,35,5,0,0,0,0,17,4631.75,38,1000,557,100.75,1908,76.35,6942,20.3,29956,10.05
25/12/2024,2,6,11,13,21,28,2,0,0,0,0,10,2124.55,75,974.35,591,85.95,2447,53.9,7568,16.9,34042,8
21/12/2024,9,12,13,33,38,39,1,0,0,0,0,6,14565.8,30,1000,284,201.65,1861,79.9,5143,28,31388,9.75
18/12/2024,6,7,14,24,33,34,4,0,0,0,0,6,10294.25,45,1000,388,129.55,1713,76.15,5957,21.2,27950,9.65
14/12/2024,20,26,30,33,40,41,3,0,0,1,1000000,8,10860.95,31,1000,388,148,1979,75.3,6954,20.75,29903,10.3
11/12/2024,4,15,19,27,37,38,6,0,0,0,0,3,22034.15,34,1000,258,185.9,1540,80.85,4480,26.9,25131,10.2
07/12/2024,13,17,18,22,26,34,5,0,0,1,1000000,14,4508.9,51,1000,504,106,2292,60.5,6781,19.8,31977,8.95
04/12/2024,11,13,19,31,35,38,5,0,0,0,0,6,10411.1,34,1000,301,153.15,1469,81.45,5187,22.35,23483,10.5
30/11/2024,8,17,28,33,37,38,6,0,0,0,0,7,8973.45,47,1000,349,147.9,2075,64.6,4967,26.1,28890,9.55
27/11/2024,12,17,26,28,34,36,3,0,0,0,0,6,11027.25,29,1000,371,123.85,1627,73.3,5965,19.35,24983,9.85
23/11/2024,3,4,8,13,19,23,1,0,0,0,0,10,5483.65,58,1000,437,119.1,2619,51.6,5599,23.35,35902,7.75
20/11/2024,4,6,7,10,29,34,3,1,36682956.85,0,0,7,15242.35,57,1000,628,124.65,2828,71.85,10432,18.85,44680,9.4
16/11/2024,5,9,16,22,23,25,6,0,0,1,1000000,13,8348.05,74,1000,622,138.65,3490,64.15,8996,24.1,53355,8.65
13/11/2024,1,3,12,15,26,42,6,0,0,0,0,13,7232.6,69,1000,632,121.4,3314,60.1,8581,22.45,45288,9.05
09/11/2024,7,16,18,19,38,40,6,0,0,0,0,13,8542.6,71,1000,482,179.05,2647,84.65,8325,26.05,44118,10.5
06/11/2024,2,5,6,9,33,35,4,0,0,0,0,12,9205.8,49,1000,478,160.95,2838,70.65,8816,21.95,46453,8.85
02/11/2024,9,17,22,25,29,38,1,0,0,0,0,11,8392.45,91,1000,550,154.35,3564,61.85,7930,61.85,51717,8.8
30/10/2024,2,4,8,10,30,39,4,0,0,0,0,4,24990.65,60,1000,664,114.55,2763,71.45,9203,20.8,42320,9.65
26/10/2024,6,7,9,26,32,42,1,0,0,0,0,8,13275.8,58,1000,483,162.45,2930,69.5,7263,27.15,46836,8.95
23/10/2024,4,9,13,25,26,38,3,0,0,0,0,11,8347.35,50,1000,553,122.55,2510,70.1,8470,20.1,36672,9.9
19/10/2024,5,6,13,22,32,39,1,0,0,1,1000000,11,7752.95,78,1000,523,145.15,3157,62.45,7555,25.25,45296,9
16/10/2024,2,7,8,17,20,30,5,0,0,2,500000,9,7776.65,73,1000,586,112.65,2790,61.4,8338,19.9,40129,8.8
12/10/2024,3,4,12,25,31,41,3,0,0,0,0,8,13989.5,42,1000,485,154.25,2233,86.95,8737,21.5,36296,11.05
09/10/2024,3,16,24,28,38,40,5,0,0,0,0,13,5435.55,72,1000,571,115.5,2639,64.85,8021,20.65,37753,9.35
05/10/2024,7,15,37,40,41,42,6,0,0,0,0,11,10168.95,35,1000,498,144.4,2426,76.95,7297,24.75,36134,10.65
02/10/2024,5,12,18,21,27,39,2,0,0,0,0,12,6478.05,57,1000,497,127.6,2452,67.15,7279,21.9,37362,9.1
28/09/2024,2,8,10,20,35,42,5,0,0,0,0,13,7156.25,57,1000,554,128.65,2815,65.7,8752,20.45,41269,9.25
25/09/2024,5,13,14,18,27,32,3,0,0,0,0,9,8289.1,54,1000,546,110.9,2287,68.75,8385,18.15,34502,9.4
21/09/2024,1,12,13,22,23,34,5,0,0,1,1000000,10,8418.15,50,1000,470,135.85,2140,77.45,7334,21.9,34177,10
18/09/2024,5,6,19,29,31,39,4,0,0,0,0,6,11471,53,1000,395,144.75,2244,66.15,6312,22.75,32098,9.55
14/09/2024,3,4,8,10,23,26,2,0,0,0,0,19,3425.35,81,1000,529,126.2,3001,57.75,8404,19.95,43721,8.2
11/09/2024,2,3,14,27,29,36,2,0,0,0,0,8,9328.8,48,1000,460,126.3,2002,75.35,6662,21.9,32287,9.65
07/09/2024,2,4,5,21,24,28,5,0,0,0,0,11,7496.05,52,1000,525,121.5,2349,70.5,7736,20.7,36670,9.3
04/09/2024,26,28,32,34,37,40,4,0,0,0,0,7,10965.9,43,1000,332,172.15,1706,86.95,5918,24.25,28163,10.85
31/08/2024,1,5,10,17,18,31,6,0,0,0,0,5,15492.85,55,1000,429,145.55,2388,67.9,6367,24.65,35717,9.35
28/08/2024,2,12,23,24,32,37,5,0,0,1,1000000,6,12399.75,41,1000,294,187.45,1691,84.6,5790,23.95,27822,10.6
24/08/2024,16,17,22,23,30,32,5,0,0,0,0,9,9388.8,39,1000,382,155.7,1691,91.3,6874,21.75,30907,10.3
21/08/2024,3,4,8,13,20,34,4,0,0,0,0,6,11066.4,45,1000,442,119.1,2046,66.8,6923,19.1,31304,9
17/08/2024,13,14,17,30,39,42,5,0,0,0,0,6,14156.55,37,1000,417,141.2,1881,81.25,6766,21.9,30274,10.4
14/08/2024,3,5,11,22,32,41,2,0,0,1,1000000,14,3868.75,54,1000,460,108.8,2291,56.7,6120,20.55,31439,8.55
10/08/2024,11,12,14,21,33,41,1,0,0,0,0,10,5533.55,64,1000,402,136.25,2586,55,5560,24.75,35364,8.3
